Locus	Allele	Acc. No.
HLA-A	01:01:01:01	HLA00001
HLA-B	07:02:01	HLA00132
HLA-C	01:02:01	HLA00401
HLA-E	01:01:01:01	HLA00934
HLA-F	01:01:01:01	HLA01096
HLA-G	01:01:01:01	HLA00939
HLA-H	01:01:01:01	HLA02546
HLA-J	01:01:01:01	HLA02626
HLA-K	01:01:01:01	HLA02654
HLA-L	01:01:01:01	HLA02655
HLA-P	01:01:01:01	HLA02742
HLA-V	01:01:01:01	HLA02801
HLA-Y	01:01	HLA13320
HLA-DMA	01:01:01:01	HLA00485
HLA-DMB	01:01:01:01	HLA00489
HLA-DOA	01:01:01	HLA00494
HLA-DOB	01:01:01:01	HLA01098
HLA-DPA1	01:03:01:01	HLA00499
HLA-DPB1	01:01:01	HLA00514
HLA-DPB2	01:01:01	HLA14837
HLA-DQA1	01:01:01	HLA00601
HLA-DQB1	05:01:01:01	HLA00638
HLA-DRA	01:01:01:01	HLA00662
HLA-DRB1	01:01:01	HLA00664
HLA-DRB2	01:01	HLA01028
HLA-DRB3	01:01:01	HLA00886
HLA-DRB4	01:01:01:01	HLA00905
HLA-DRB5	01:01:01	HLA00915
HLA-DRB6	01:01	HLA00929
HLA-DRB7	01:01:01	HLA00932
HLA-DRB8	01:01	HLA01029
HLA-DRB9	01:01	HLA01030
HFE	001:01:01	HLA14067
MICA	001	HLA01013
MICB	001	HLA02033
TAP1	01:01:01:01	HLA00953
TAP2	01:01:01:01	HLA00959
